Name,Team,G
 David Akers,SFO,16
 Mike Nugent,CIN,16
 Neil Rackers,HOU,16
 Dan Bailey,DAL,16
 Graham Gano,WAS,16
 Sebastian Janikowski,OAK,15
 Rob Bironas,TEN,16
 Dan Carpenter,MIA,14
 Stephen Gostkowski,NWE,16
 Robbie Gould,CHI,16
 John Kasay,NOR,16
 Billy Cundiff,BAL,15
 Matt Bryant,ATL,16
 Nick Novak,SDG,15
 Connor Barth,TAM,16
 Steven Hauschka,SEA,16
 Phil Dawson,CLE,16
 Jason Hanson,DET,16
 Ryan Succop,KAN,16
 Mason Crosby,GNB,16
 Alex Henery,PHI,16
 Shaun Suisham,PIT,16
 Josh Scobee,JAC,16
 Adam Vinatieri,IND,16
 Ryan Longwell,MIN,16
 Olindo Mare,CAR,16
 Josh Brown,STL,16
 Jay Feely,ARI,16
 Matt Prater,DEN,16
 Lawrence Tynes,NYG,16
 Nick Folk,NYJ,16
 Rian Lindell,BUF,8
 Dave Rayner,BUF,7
 Shayne Graham,MIA,2
 Nate Kaeding,SDG,1
 Brandon Coutu,BUF,1
 David Buehler,DAL,4
