Name,Team,G
Maurice Jones-Drew,JAC,16
Ray Rice,BAL,16
Michael Turner,ATL,16
LeSean McCoy,PHI,15
Arian Foster,HOU,13
Frank Gore,SFO,16
Marshawn Lynch,SEA,15
Willis McGahee,DEN,15
Steven Jackson,STL,15
Ryan Mathews,SDG,14
Reggie Bush,MIA,15
Cedric Benson,CIN,15
Shonn Greene,NYJ,16
Chris Johnson,TEN,16
Beanie Wells,ARI,14
Matt Forte,CHI,12
Michael Bush,OAK,16
Adrian Peterson,MIN,12
Ben Tate,HOU,15
Fred Jackson,BUF,10
Rashard Mendenhall,PIT,15
DeMarco Murray,DAL,13
DeAngelo Williams,CAR,16
LeGarrette Blount,TAM,14
Jonathan Stewart,CAR,16
BenJarvus Green-Ellis,NWE,16
Ahmad Bradshaw,NYG,12
Donald Brown,IND,16
Roy Helu,WAS,15
Darren McFadden,OAK,7
Darren Sproles,NOR,16
Jackie Battle,KAN,15
Peyton Hillis,CLE,10
Daniel Thomas,MIA,13
James Starks,GNB,13
Felix Jones,DAL,12
Brandon Jacobs,NYG,14
Pierre Thomas,NOR,16
C.J. Spiller,BUF,16
Ryan Grant,GNB,15
Toby Gerhart,MIN,16
Dexter McCluster,KAN,16
Mike Tolbert,SDG,15
Isaac Redman,PIT,16
Thomas Jones,KAN,16
Mark Ingram,NOR,10
Kendall Hunter,SFO,16
Ricky Williams,BAL,16
Stevan Ridley,NWE,16
Joseph Addai,IND,12
Marion Barber,CHI,11
Lance Ball,DEN,16
Jahvid Best,DET,6
Bernard Scott,CIN,16
Delone Carter,IND,16
Chris Ivory,NOR,6
Carnell Williams,STL,11
Kevin Smith,DET,7
Danny Woodhead,NWE,15
Chris Ogbonnaya,CLE,11
Kahlil Bell,CHI,13
Evan Royster,WAS,6
Tim Hightower,WAS,5
Maurice Morris,DET,16
LaDainian Tomlinson,NYJ,14
Montario Hardesty,CLE,10
Leon Washington,SEA,16
Earnest Graham,TAM,7
Jacquizz Rodgers,ATL,16
Ryan Torain,WAS,8
Keiland Williams,DET,15
Javon Ringer,TEN,12
Knowshon Moreno,DEN,7
LaRod Stephens-Howling,ARI,14
D.J. Ware,NYG,16
Mewelde Moore,PIT,12
Derrick Ward,HOU,12
Tashard Choice,BUF,6
Jason Snelling,ATL,15
Justin Forsett,SEA,16
Ronnie Brown,PHI,16
Joe McKnight,NYJ,15
Deji Karim,JAC,12
Jonathan Dwyer,PIT,7
Marcel Reece,OAK,12
Kregg Lumpkin,TAM,16
Alfonso Smith,ARI,15
Dion Lewis,PHI,15
Curtis Brinkley,SDG,10
Sammy Morris,DAL,3
Jacob Hester,SDG,16
Anthony Dixon,SFO,16
Brian Leonard,CIN,13
Steve Slaton,MIA,3
Jamaal Charles,KAN,2
John Kuhn,GNB,16
Jeremiah Johnson,DEN,8
Chester Taylor,ARI,12
Phillip Tanner,DAL,9
Taiwan Jones,OAK,10
Brandon Saine,GNB,8
Jerious Norwood,STL,9
Kevin Faulk,NWE,7
Shane Vereen,NWE,5
Mossis Madu,TAM,9
Lorenzo Booker,MIN,15
Le'Ron McClain,KAN,16
Armando Allen,CHI,2
Rock Cartwright,OAK,15
Spencer Larsen,DEN,16
Jamie Harper,TEN,13
John Conner,NYJ,16
DuJuan Harris,JAC,5
Lex Hilliard,MIA,16
John Clay,PIT,2
Jerome Harrison,DET,4
Montell Owens,JAC,13
Johnny White,BUF,12
Vonta Leach,BAL,16
Darrel Young,WAS,13
Stefan Logan,DET,16
Josh Vaughan,CAR,7
Ahmard Hall,TEN,12
Bilal Powell,NYJ,2
Da'Rel Scott,NYG,11
Cedric Peerman,CIN,15
Brock Bolen,JAC,13
Brit Miller,STL,12
Manase Tonga,OAK,11
Thomas Clayton,CLE,3
James Casey,HOU,14
Alex Green,GNB,4
Jerome Felton,IND,5
Owen Marecic,CLE,14
Bruce Miller,SFO,15
Anthony Allen,BAL,5
Michael Robinson,SEA,14
Greg Jones,JAC,16
Owen Schmitt,PHI,16
Jed Collins,NOR,16
Tony Fiammetta,DAL,10
Anthony Sherman,ARI,15
Larry Johnson,MIA,1
Eddie Williams,CLE,3
Armond Smith,CLE,3
Ovie Mughelli,ATL,7
Lawrence Vickers,HOU,14
Reagan Maui'a,ARI,3
Korey Hall,NOR,13
Henry Hynoski,NYG,11
Shaun Chapas,DAL,3
Corey McIntyre,BUF,16
Ryan Mahaffey,IND,5
Moran Norris,SFO,5
Eldra Buckley,DET,2
Lousaka Polite,NWE,1
Chris Massey,CHI,6
Mike Cox,ATL,9
Antone Smith,ATL,12
Chris Pressley,CIN,15
Ryan D'Imperio,MIN,12
Erik Lorig,TAM,16
Chris Gronkowski,IND,7
Quinn Porter,STL,12
David Johnson,PIT,16
Aaron Brown,DET,1
Tyler Clutts,CHI,16
Mike Sellers,WAS,12
Mike Goodson,CAR,4
Charles Clay,MIA,14
Quinn Johnson,TEN,4
Chauncey Washington,DAL,2
