Name,Team,G
 Rob Gronkowski,NWE,16
 Jimmy Graham,NOR,16
 Jason Witten,DAL,16
 Aaron Hernandez,NWE,14
 Tony Gonzalez,ATL,16
 Dustin Keller,NYJ,16
 Brent Celek,PHI,16
 Fred Davis,WAS,12
 Vernon Davis,SFO,16
 Antonio Gates,SDG,13
 Brandon Pettigrew,DET,16
 Jermichael Finley,GNB,16
 Kellen Winslow,TAM,16
 Jared Cook,TEN,16
 Owen Daniels,HOU,15
 Heath Miller,PIT,16
 Jake Ballard,NYG,14
 Jermaine Gresham,CIN,14
 Greg Olsen,CAR,16
 Ed Dickson,BAL,16
 Marcedes Lewis,JAC,15
 Jeremy Shockey,CAR,15
 Anthony Fasano,MIA,15
 Benjamin Watson,CLE,13
 Visanthe Shiancoe,MIN,16
 Dennis Pitta,BAL,16
 Scott Chandler,BUF,14
 Kevin Boss,OAK,14
 Joel Dreessen,HOU,16
 Dallas Clark,IND,11
 Lance Kendricks,STL,15
 Tony Scheffler,DET,15
 Evan Moore,CLE,16
 Todd Heap,ARI,10
 Randy McMichael,SDG,16
 Jeff King,ARI,16
 Daniel Fells,DEN,16
 Kyle Rudolph,MIN,15
 Leonard Pope,KAN,16
 Zach Miller,SEA,15
 Kellen Davis,CHI,16
 Delanie Walker,SFO,15
 Jacob Tamme,IND,16
 Craig Stevens,TEN,15
 Clay Harbor,PHI,16
 Brandon Myers,OAK,16
 Anthony McCoy,SEA,16
 Martellus Bennett,DAL,14
 Logan Paulsen,WAS,16
 Bear Pascoe,NYG,16
 Rob Housler,ARI,12
 Alex Smith,CLE,14
 Dante Rosario,DEN,14
 Donald Lee,CIN,9
 John Phillips,DAL,16
 Travis Beckum,NYG,13
 Luke Stocker,TAM,14
 Michael Hoomanawanui,STL,8
 Cameron Morrah,SEA,9
 Michael Palmer,ATL,16
 Billy Bajema,STL,16
 Chris Cooley,WAS,5
 Matthew Mulligan,NYJ,16
 Colin Cloherty,JAC,4
 Jake O'Connell,KAN,8
 Zach Potter,JAC,15
 Matt Spaeth,CHI,15
 Brody Eldridge,IND,13
 Colin Cochart,CIN,10
 Zach Miller,JAC,4
 Will Heller,DET,16
 Mike Caussin,BUF,6
 Zack Pianalto,TAM,13
 Tom Crabtree,GNB,16
 Andrew Quarless,GNB,10
 Jeff Cumberland,NYJ,3
 Jordan Cameron,CLE,8
 Kory Sperry,SDG,16
 Weslye Saunders,PIT,16
 Kevin Brock,BUF,2
 Josh Baker,NYJ,11
 Anthony Becht,KAN,9
 Jim Dray,ARI,10
 Daniel Graham,TEN,16
 Niles Paul,WAS,13
 Virgil Green,DEN,15
 Garrett Graham,HOU,7
 John Gilmore,NOR,14
 Justin Peelle,SFO,14
 David Thomas,NOR,5
 David Ausberry,OAK,12
 Richie Brockel,CAR,11
 D.J. Williams,GNB,13
 Lee Smith,BUF,10
 Anthony Hill,IND,7
 Jeron Mastrud,MIA,14
 Reggie Kelly,ATL,16
 Julius Thomas,DEN,5
 Allen Reisner,MIN,6
 Ryan Taylor,GNB,15
 Jim Kleinsasser,MIN,16
 Michael Higgins,NOR,2
 Stephen Spach,STL,10
 Richard Gordon,OAK,14
 Steve Maneri,KAN,6
 Collin Franklin,TAM,2
 Kris Wilson,BAL,15
 Dominique Byrd,SEA,1
 Martin Rucker,DAL,1
 Mike Leach,ARI,16
 Justin Snow,IND,16
 Richard Quinn,WAS,1
 Dan Gronkowski,CLE,1
 Fendi Onobun,JAC,1
 Brian Jennings,SFO,16
 Ben Hartsock,CAR,15
 Joe Zelenka,ATL,16
 David Martin,BUF,3
