Name,Team,G
 Calvin Johnson,DET,16
 Wes Welker,NWE,16
 Victor Cruz,NYG,16
 Larry Fitzgerald,ARI,16
 Steve Smith,CAR,16
 Roddy White,ATL,16
 Jordy Nelson,GNB,16
 Brandon Marshall,MIA,16
 Mike Wallace,PIT,16
 Hakeem Nicks,NYG,15
 Dwayne Bowe,KAN,16
 Marques Colston,NOR,14
 Antonio Brown,PIT,16
 Vincent Jackson,SDG,16
 A.J. Green,CIN,15
 Nate Washington,TEN,16
 Stevie Johnson,BUF,16
 Darrius Heyward-Bey,OAK,15
 Percy Harvin,MIN,16
 Brandon Lloyd,DEN,4
 DeSean Jackson,PHI,15
 Reggie Wayne,IND,16
 Julio Jones,ATL,13
 Greg Jennings,GNB,13
 Pierre Garcon,IND,16
 Jabar Gaffney,WAS,16
 Dez Bryant,DAL,15
 Anquan Boldin,BAL,14
 Michael Crabtree,SFO,15
 Jeremy Maclin,PHI,13
 Laurent Robinson,DAL,14
 Malcom Floyd,SDG,12
 Torrey Smith,BAL,16
 Doug Baldwin,SEA,16
 Steve Breaston,KAN,16
 Mike Williams,TAM,16
 Nate Burleson,DET,16
 Johnny Knox,CHI,14
 Jerome Simpson,CIN,16
 Greg Little,CLE,16
 Deion Branch,NWE,15
 Early Doucet,ARI,16
 Jason Avant,PHI,16
 David Nelson,BUF,16
 Santonio Holmes,NYJ,16
 James Jones,GNB,16
 Lance Moore,NOR,14
 Robert Meachem,NOR,16
 Denarius Moore,OAK,13
 Brandon LaFell,CAR,16
 Eric Decker,DEN,16
 Plaxico Burress,NYJ,16
 Titus Young,DET,16
 Damian Williams,TEN,15
 Andre Roberts,ARI,16
 Santana Moss,WAS,12
 Miles Austin,DAL,10
 Preston Parker,TAM,16
 Demaryius Thomas,DEN,11
 Brian Hartline,MIA,16
 Davone Bess,MIA,16
 Mario Manningham,NYG,12
 Joshua Cribbs,CLE,16
 Austin Collie,IND,16
 Jacoby Jones,HOU,16
 Roy Williams,CHI,15
 Devery Henderson,NOR,16
 Harry Douglas,ATL,16
 Andre Johnson,HOU,7
 Sidney Rice,SEA,9
 Kevin Walter,HOU,15
 Lavelle Hawkins,TEN,16
 Devin Aromashodu,MIN,16
 Legedu Naanee,CAR,15
 Michael Jenkins,MIN,11
 Donald Driver,GNB,16
 Arrelious Benn,TAM,14
 Ben Obomanu,SEA,16
 Danario Alexander,STL,10
 Brandon Gibson,STL,15
 Mike Thomas,JAC,15
 Dezmon Briscoe,TAM,16
 Mohamed Massaquoi,CLE,14
 Golden Tate,SEA,16
 Earl Bennett,CHI,11
 Hines Ward,PIT,15
 Randall Cobb,GNB,15
 Devin Hester,CHI,16
 Jason Hill,JAC,10
 Vincent Brown,SDG,14
 Andre Caldwell,CIN,13
 Riley Cooper,PHI,16
 Jeremy Kerley,NYJ,14
 Donte' Stallworth,WAS,11
 Jarett Dillard,JAC,14
 Kenny Britt,TEN,3
 Emmanuel Sanders,PIT,11
 Jacoby Ford,OAK,8
 Chad Johnson,NWE,15
 Dane Sanzenbacher,CHI,16
 Chaz Schilens,OAK,15
 Jordan Norwood,CLE,14
 Matthew Willis,DEN,16
 Greg Salas,STL,6
 Andrew Hawkins,CIN,13
 Naaman Roosevelt,BUF,10
 Austin Pettis,STL,12
 Jon Baldwin,KAN,11
 Derek Hagan,BUF,4
 Patrick Crayton,SDG,14
 Louis Murphy,OAK,11
 Kyle Williams,SFO,13
 Brad Smith,BUF,15
 Jerricho Cotchery,PIT,13
 Mike Williams,SEA,12
 Donald Jones,BUF,8
 Ted Ginn Jr.,SFO,14
 Josh Morgan,SFO,5
 Braylon Edwards,SFO,9
 Derrick Mason,NYJ,5
 Jesse Holley,DAL,16
 Kevin Ogletree,DAL,14
 Leonard Hankerson,WAS,4
 Chastin West,JAC,12
 Eddie Royal,DEN,12
 Mike Sims-Walker,STL,4
 T.J. Houshmandzadeh,OAK,9
 Terrence Austin,WAS,13
 Steve Smith,PHI,9
 Greg Camarillo,MIN,13
 Terrance Copper,KAN,16
 Sam Hurd,CHI,12
 Ricardo Lockette,SEA,2
 Anthony Armstrong,WAS,14
 Patrick Turner,NYJ,15
 Ramses Barden,NYG,8
 Bernard Berrian,MIN,5
 Eric Weems,ATL,16
 Bryant Johnson,HOU,16
 Keary Colbert,KAN,7
 Ruvell Martin,BUF,14
 David Anderson,WAS,4
 Lee Evans,BAL,9
 Rashied Davis,DET,11
 Sammie Stroughter,TAM,6
 Deon Butler,SEA,5
 Domenik Hixon,NYG,2
 LaQuan Williams,BAL,12
 Matthew Slater,NWE,16
 Donnie Avery,TEN,8
 Danny Amendola,STL,1
 Kassim Osgood,JAC,12
 Chansi Stuckey,ARI,9
 Taylor Price,NWE,3
 Stephen Burton,MIN,3
 Devin Thomas,NYG,16
 DeMarco Sampson,ARI,12
 Jerheme Urban,KAN,6
 Julian Edelman,NWE,13
 Adrian Arrington,NOR,4
 Carlton Mitchell,CLE,11
 Tiquan Underwood,NWE,6
 Kris Durham,SEA,3
 Cecil Shorts,JAC,10
 Bryan Walters,SDG,4
 Ryan Whalen,CIN,4
 Mark Clayton,STL,2
 Brian Robiskie,CLE,6
 Marc Mariani,TEN,16
 Chad Hall,PHI,7
 Clyde Gates,MIA,15
 Roscoe Parrish,BUF,2
 Brett Swain,SFO,5
 Jordan Shipley,CIN,2
 Micheal Spurlock,TAM,12
 Emmanuel Arceneaux,MIN,3
 Brandon Banks,WAS,16
 Maurice Stovall,DET,15
 Nick Miller,OAK,2
 Brandon Stokley,NYG,2
 Seyi Ajirotutu,CAR,14
 Richard Goodman,SDG,16
 Kerry Meier,ATL,12
 David Reed,BAL,11
 Armanti Edwards,CAR,16
 Jeff Maehl,HOU,3
 Michael Clayton,NYG,5
 Joe Hastings,SFO,1
 Jamar Newsome,JAC,2
 Anthony Gonzalez,IND,8
 Quan Cosby,DEN,10
 Jaymar Johnson,ARI,1
 Tandon Doss,BAL,5
 Stephen Williams,ARI,2
 Courtney Roby,NOR,16
 Arnaz Battle,PIT,10
 Roberto Wallace,MIA,2
 Max Komar,CHI,1
 Brandon Tate,CIN,16
 Marlon Moore,MIA,6
 Blair White,IND,7
 Jerrel Jernigan,NYG,8
 Jeremy Horne,KAN,9
 Dwayne Harris,DAL,7
 Trindon Holliday,HOU,1
 Kealoha Pilares,CAR,12
